procedure,calls,inclusive_time,exclusive_time
RECRUITMENT,8787,336080853,125134272
CALC-DRC-CWOOD,375533,294393160,294393160
DECAY,140042,260471499,260471499
CALC-FLAMMABILITY,50,135990831,135990831
GO,151,118259620129,74217108613
DEATH,375533,251933089,251933089
GET-CAREA-PARAMS,8787,64011656,64011656
SPARK,50,2552037,2552037
DISTURBANCE,24502,12385905,12385905
REMOVE-TREES,140042,60115864,60115864
MEAN-SUITABILITY-PINE,151,169328545,169328545
GET-CWOOD-PARAMS,8787,16959072,16959072
GROW,375533,1395511043,776043506
CALC-DBC,375533,163852639,163852639
MEAN-SUITABILITY-JUNIPER,151,62486461,62486461
REPRODUCE,19818,430870188,94789335
GET-DBC-PARAMS,8787,64079121,64079121
GET-HGT-PARAMS,8787,65896732,65896732
SPREAD,50,135913497,135913497
CALC-DBC-DRC,375533,161221738,161221738
RESET-TREES,50,42279833,42279833
